| Courant source [mA $\pm$ 20] | Tension de Hall d$\acute{e}$cal$\acute{e}$e [mV] |
| ---------------------------- | ---------------------------- |
| 40                           | 2 $\pm$ 8                 |
| 70                           | 3.5                          |
| 90                           | 5.5                          |
| 180                          | 9.1                          |
| 250                          | 12.7                         |
| 320                          | 16.7                         |
| 400                          | 20.4                         |
| 470                          | 23.9                         |
| 540                          | 27.6                         |
| 610                          | 31.1                         |
| 680                          | 34.8                         |
| 710                          | 36.0                         |
| 780                          | 40.0                         |
| 840                          | 43.3                         |
| 910                          | 46.4                         |
