| Position [mm $\pm$ 0.5]| V3-V2(C-C)[mV $\pm$ 0.02]|
| -----------------------  | -----------------------  |
| 15.0                     | 0.59                     |
| 20.0                     | 0.64                     |
| 25.0                     | 0.62                     |
| 30.0                     | 0.52                     |
| 35.0                     | 0.38                     |
| 37.0                     | 0.34                     |
| 39.0                     | 0.24                     |
| 40.0                     | 0.14                     |
| 41.0                     | 0.10                     |
| 42.0                     | 0.06                     |
| 43.0                     | 0.02                     |
| 44.0                     | 0.04                     |
| 45.0                     | 0.08                     |
| 47.0                     | 0.16                     |
| 49.0                     | 0.23                     |
| 52.0                     | 0.33                     |
| 55.0                     | 0.42                     |
| 60.0                     | 0.54                     |
| 65.0                     | 0.60                     |
| 70.0                     | 0.58                     |
