| Distance absolue [mm $\pm$ 0.5] | V3-V2 [mV $\pm$ 20] |
| ------------------------------- | ------------------ |
| 35.0                              | 320                |
| 36.0                             | 292                |
| 37.0                              | 260                |
| 38.0                              | 220                |
| 39.0                              | 184                |
| 40.0                              | 144                |
| 41.0                              | 108                |
| 42.0                              | 64                 |
| 43.0                              | 30                 |
| 44.0                              | 40                 |
| 45.0                              | 80                 |
| 46.0                              | 120                |
| 47.0                              | 160                |
| 48.0                              | 192                |
| 52.0                            | 332                |
| 55.0                            | 422                |
