| Fréquence générée [KHz $\pm$ 0.01] | Tension [V $\pm$ 0.01] |
| ---------------------------------- | ---------------------- |
| 9.50                               | 3.43                   |
| 9.60                               | 2.75                   |
| 9.70                               | 2.05                   |
| 9.80                               | 1.35                   |
| 9.90                               | 0.64                   |
| 10.00                              | -0.05                  |
| 10.10                              | -0.75                  |
| 10.20                              | -1.46                  |
| 10.30                              | -2.17                  |
| 10.40                              | -2.88                  |
| 10.50                              | -3.59                  |
