| Pression [kPa $\pm$ 50] | dV [$mm^3$ $\pm$ 0.02] |
| ----------------------- | ---------------------- |
| 500                     | 0.02                   |
| 1000                    | 0.06                   |
| 1500                    | 0.10                   |
| 2000                    | 0.14                   |
| 2500                    | 0.18                   |
| 3000                    | 0.21                   |
| 3500                    | 0.24                   |
| 4000                    | 0.27                   |
| 4500                    | 0.30                   |
| 5000                    | 0.33                   |
| 5500                    | 0.35                   |
