| Température [C $\pm$ 2.0] | Tension [mv $\pm$ 0.02] |
| ----------------------- | ----------------------- |
| 30.0                      | 0.0                     |
| 33.0                      | 1.0                     |
| 39.0                      | 3.0                     |
| 42.0                      | 4.3                     |
| 45.0                     | 5.7                     |
| 48.0                      | 6.3                     |
| 52.0                      | 7.3                     |
| 55.0                      | 8.0                     |
| 57.0                      | 8.3                     |
| 61.0                      | 8.5                   |
| 65.0                      | 8.7                      |
