Pixels, Value
0, 5568
0,1, 5568
0,2, 5568
0,3, 5568
0,4, 5568
0,5, 5568
0,6, 5568
0,7, 5568
0,8, 5760
0,9, 5760
1, 5760
1,1, 5760
1,2, 5760
1,3, 5760
1,4, 5760
1,5, 5760
1,6, 5760
1,7, 5760
1,8, 5696
1,9, 5696
2, 5696
2,1, 5696
2,2, 5696
2,3, 5696
2,4, 5696
2,5, 5696
2,6, 5696
2,7, 5696
2,8, 6080
2,9, 6080
3, 6080
3,1, 6080
3,2, 6080
3,3, 6080
3,4, 6080
3,5, 6080
3,6, 6080
3,7, 6080
3,8, 6144
3,9, 6144
4, 6144
4,1, 6144
4,2, 6144
4,3, 6144
4,4, 6144
4,5, 6144
4,6, 6144
4,7, 6144
4,8, 5824
4,9, 5824
5, 5824
5,1, 5824
5,2, 5824
5,3, 5824
5,4, 5824
5,5, 5824
5,6, 5824
5,7, 5824
5,8, 6208
5,9, 6208
6, 6208
6,1, 6208
6,2, 6208
6,3, 6208
6,4, 6208
6,5, 6208
6,6, 6208
6,7, 6208
6,8, 6144
6,9, 6144
7, 6144
7,1, 6144
7,2, 6144
7,3, 6144
7,4, 6144
7,5, 6144
7,6, 6144
7,7, 6144
7,8, 6400
7,9, 6400
8, 6400
8,1, 6400
8,2, 6400
8,3, 6400
8,4, 6400
8,5, 6400
8,6, 6400
8,7, 6400
8,8, 6848
8,9, 6848
9, 6848
9,1, 6848
9,2, 6848
9,3, 6848
9,4, 6848
9,5, 6848
9,6, 6848
9,7, 6848
9,8, 8000
9,9, 8000
10, 8000
10,1, 8000
10,2, 8000
10,3, 8000
10,4, 8000
10,5, 8000
10,6, 8000
10,7, 8000
10,8, 8000
10,9, 8000
11, 8000
11,1, 8000
11,2, 8000
11,3, 8000
11,4, 8000
11,5, 8000
11,6, 8000
11,7, 8000
11,8, 6336
11,9, 6336
12, 6336
12,1, 6336
12,2, 6336
12,3, 6336
12,4, 6336
12,5, 6336
12,6, 6336
12,7, 6336
12,8, 6976
12,9, 6976
13, 6976
13,1, 6976
13,2, 6976
13,3, 6976
13,4, 6976
13,5, 6976
13,6, 6976
13,7, 6976
13,8, 6080
13,9, 6080
14, 6080
14,1, 6080
14,2, 6080
14,3, 6080
14,4, 6080
14,5, 6080
14,6, 6080
14,7, 6080
14,8, 6208
14,9, 6208
15, 6208
15,1, 6208
15,2, 6208
15,3, 6208
15,4, 6208
15,5, 6208
15,6, 6208
15,7, 6208
15,8, 7360
15,9, 7360
16, 7360
16,1, 7360
16,2, 7360
16,3, 7360
16,4, 7360
16,5, 7360
16,6, 7360
16,7, 7360
16,8, 8384
16,9, 8384
17, 8384
17,1, 8384
17,2, 8384
17,3, 8384
17,4, 8384
17,5, 8384
17,6, 8384
17,7, 8384
17,8, 21440
17,9, 21440
18, 21440
18,1, 21440
18,2, 21440
18,3, 21440
18,4, 21440
18,5, 21440
18,6, 21440
18,7, 21440
18,8, 36416
18,9, 36416
19, 36416
19,1, 36416
19,2, 36416
19,3, 36416
19,4, 36416
19,5, 36416
19,6, 36416
19,7, 36416
19,8, 38272
